hello,שלום
your_test_identifier,הקוד המזהה שלך למבחן זה הינו:
id_not_found,תעודת הזהות שהוכנסה לא נמצאת במאגר. יש לבדוק האם תעודת הזהות הוקלדה בצורה תקינה
general_error,שגיאה - על מנת לפתור אותה יש למחוק את הקובץ creds הנמצא בפרויקט ולהפעיל אותו מחדש
enter_test_id,הכנס את מספר המבחן שלך:
enter_id,הכנס את מספר תעודת הזהות שלך:
something_went_wrong,"משהו השתבש, נסה שנית"
instructions_1_1,הורידו פרויקט GITHUB נוסף שנמצא בקישור הבא: https://github.com/ShaiAshCollege464/ws_2024_a_helper (שימו לב - מדובר בפרויקט אחר. קישור הפרויקט מודפס גם ב-Colsole של ה-IntelliJ לצורך העתקה נוחה)
instructions_1_2,בפרויקט ישנו קובץ בשם data.csv.
instructions_1_3,ניתן לצפות בתוכן הקובץ ב-IntelliJ אבל גם באמצעות התוכנות Notepad או Excel אם זה יותר נוח לכם.
instructions_1_4, בקובץ יש 20000 שורות. כל שורה מכילה מידע על לקוח שביצע רכישה כלשהי.
instructions_1_5,להלן רשימת העמודות לפי הסדר שלהן:
instructions_1_6,מספר שורה - תעודת זהות - שם פרטי - שם משפחה - שנת לידה - זכר/נקבה - עיר מגורים - סכום הרכישה.
instructions_1_7,במחלקה Main יש לכם קוד שקורא את המידע מתוך אותו הקובץ לתוך רשימה.
instructions_1_8,עליכם לענות על שתי שאלות בנוגע למידע שבתוך הקובץ. על מנת לענות על שאלות אלה תצטרכו לכתוב קוד שמנתח את הקובץ.
instructions_1_9,שימו לב: השאלות לגבי תוכן הקובץ שונות ממבחן למבחן. כדי לראות את השאלות שקיבלתם לחצו על הכפתורים שאלה 1 או שאלה 2 במסך.
instructions_1_10,לאחר שהגעתם לתשובה עליכם לשלוח את התשובה בבקשת API מסוג POST אל הנתיב הבא:
instructions_1_11,https://app.seker.live/fm1/answer-file
instructions_1_12,יש לצרף אל בקשת ה-API שלושה פרמטרים:
instructions_1_13,פרמטר בשם magic שהוא המזהה הייחודי שקיבלת לאחר הזנת תעודת הזהות.
instructions_1_14,פרמטר בשם question שהוא השאלה שפתרת (או 1 או 2).
instructions_1_15,פרמטר בשם answer שהוא התשובה לשאלה שחישבתם באמצעות הקוד.
instructions_1_16,התגובה:
instructions_1_17,בתגובה השרת יחזיר JSON שאחד השדות שלו הוא success. במידה והערך של success הוא true - תשובתכם נכונה וניתן להתקדם.
instructions_1_18,במידה והערך של success הוא false יצורף גם קוד שגיאה.
instructions_1_19,קוד שגיאה 2007 - לא נשלח הפרמטר question.
instructions_1_20,קוד שגיאה 2008 - הערף שנשלח עבור הפרמטר question אינו תקין.
instructions_1_21,קוד שגיאה 2004 - לא נשלח הפרמטר magic.
instructions_1_22,קוד שגיאה 2005 - הפרמטר magic שנשלח אינו תקין.
instructions_1_23,קוד שגיאה 2006 - התשובה שנשלחה שגויה.
file_question_1,מהי שנת הלידה הממוצעת של נשים? (יש לשלוח מספר שלם כתשובה - לעגל כלפי מטה)
file_question_2, מהו השם הפרטי הנפוץ ביותר אצל גברים?
file_question_3,מהו ממוצע החשבונית עבור לקוחות שיש להם בשם הפרטי a או A?
file_question_4,כמה לקוחות מעיר שמתחילה במילה Lake שילמו יותר מ-400$?
file_question_5,לקוחות של איזו עיר רכשו בסכום הכסף הכולל הגדול ביותר?
file_question_6, מהו מספר תעודת הזהות שמופיע יותר מפעם אחת ברשימה?
instructions,הוראות שלב א'
question_1,שאלה 1 שלב א'
question_2,שאלה 2 שלב א'
move_to_stage_2,עבור לשלב ב',
instructions_stage_2,הוראות שלב ב'
instructions_2_1,הורידו את פרויקט ה-GITHUB שנמצא בקישור הבא: https://github.com/ShaiAshCollege464/ws_2024_a_helper
instructions_2_2,בפרויקט ישנה תיקייה בשם images ובה תמונות רבות שהשם של כל אחת מהן הוא מספר.
instructions_2_3,כל נבחן יקבל מספר של תמונה (על מנת לראות את המספר שלך - לחץ על הכפתור למטה).
instructions_2_4,עבור התמונה הזאת עליכם לחשב את הצבע השלישי בדומיננטיות שלו בתמונה מלבד הצבע הלבן.
instructions_2_5,כלומר - לא את הצבע הכי נפוץ ולא את הצבע השני הכי נפוץ - אלא השלישי.
instructions_2_6,עליכם לשלוח את ה-RGB של הצבע שחישבתם בבקשת API מסוג POST אל הנתיב הבא:
instructions_2_7,https://app.seker.live/fm1/answer-image
instructions_2_8,יש לצרף אל בקשת ה-API ארבעה פרמטרים:
instructions_2_9,פרמטר בשם magic שהוא המזהה הייחודי שקיבלת לאחר הזנת תעודת הזהות.
instructions_2_10,פרמטר בשם red שהוא עוצמת הצבע האדום (0-255)
instructions_2_11,פרמטר בשם green שהוא עוצמת הצבע הירוק (0-255)
instructions_2_12,פרמטר בשם blue שהוא עוצמת הצבע הכחול (0-255)
instructions_2_13,התגובה:
instructions_2_14,בתגובה השרת יחזיר JSON שאחד השדות שלו הוא success. במידה והערך של success הוא true - תשובתכם נכונה וניתן להתקדם.
instructions_2_15,במידה והערך של success הוא false יצורף גם קוד שגיאה.
instructions_2_16,קוד שגיאה 2009 - לא נשלח אחד מהפרמטרים RGB
instructions_2_17,קוד שגיאה 2004 - לא נשלח הפרמטר magic.
instructions_2_18,קוד שגיאה 2005 - הפרמטר magic שנשלח אינו תקין.
instructions_2_19,קוד שגיאה 2010 - התשובה שנשלחה שגויה.
my_image,התמונה שלי
helper_project_link,קישור להורדת הפרויקט השני:
minute_passed,דקה חלפה - הצלחת במשימה
seconds_passed,שניות חלפו!
failure_text,התוכנית הסתיימה בטרם עברה דקה - נסה שוב
instructions_stage_3,הוראות לשלב ג
state_3_instructions,ההוראות לשלב ג נמצאות בקובץ בשם state3.txt הקיים בתוך הפרויקט
